2025-01-17 15:25:58,782 INFO    MainThread:2883095 [wandb_setup.py:_flush():68] Current SDK version is 0.19.4
2025-01-17 15:25:58,783 INFO    MainThread:2883095 [wandb_setup.py:_flush():68] Configure stats pid to 2883095
2025-01-17 15:25:58,783 INFO    MainThread:2883095 [wandb_setup.py:_flush():68] Loading settings from /home/linsiyu/.config/wandb/settings
2025-01-17 15:25:58,783 INFO    MainThread:2883095 [wandb_setup.py:_flush():68] Loading settings from /home/linsiyu/GaLore-master/wandb/settings
2025-01-17 15:25:58,783 INFO    MainThread:2883095 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-01-17 15:25:58,783 INFO    MainThread:2883095 [wandb_init.py:setup_run_log_directory():624] Logging user logs to /home/linsiyu/GaLore-master/wandb/offline-run-20250117_152558-c1zskfkl/logs/debug.log
2025-01-17 15:25:58,783 INFO    MainThread:2883095 [wandb_init.py:setup_run_log_directory():625] Logging internal logs to /home/linsiyu/GaLore-master/wandb/offline-run-20250117_152558-c1zskfkl/logs/debug-internal.log
2025-01-17 15:25:58,783 INFO    MainThread:2883095 [wandb_init.py:init():743] calling init triggers
2025-01-17 15:25:58,783 INFO    MainThread:2883095 [wandb_init.py:init():748] wandb.init called with sweep_config: {}
config: {}
2025-01-17 15:25:58,783 INFO    MainThread:2883095 [wandb_init.py:init():776] starting backend
2025-01-17 15:25:58,999 INFO    MainThread:2883095 [wandb_init.py:init():780] sending inform_init request
2025-01-17 15:25:59,012 INFO    MainThread:2883095 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-01-17 15:25:59,012 INFO    MainThread:2883095 [wandb_init.py:init():795] backend started and connected
2025-01-17 15:25:59,016 INFO    MainThread:2883095 [wandb_init.py:init():888] updated telemetry
2025-01-17 15:25:59,036 INFO    MainThread:2883095 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-01-17 15:25:59,170 INFO    MainThread:2883095 [wandb_init.py:init():967] starting run threads in backend
2025-01-17 15:25:59,420 INFO    MainThread:2883095 [wandb_run.py:_console_start():2409] atexit reg
2025-01-17 15:25:59,420 INFO    MainThread:2883095 [wandb_run.py:_redirect():2259] redirect: wrap_raw
2025-01-17 15:25:59,420 INFO    MainThread:2883095 [wandb_run.py:_redirect():2324] Wrapping output streams.
2025-01-17 15:25:59,420 INFO    MainThread:2883095 [wandb_run.py:_redirect():2349] Redirects installed.
2025-01-17 15:25:59,422 INFO    MainThread:2883095 [wandb_init.py:init():1009] run started, returning control to user process
2025-01-17 15:25:59,429 WARNING MsgRouterThr:2883095 [router.py:message_loop():75] message_loop has been closed
